Origin,Destination,Toll
Lunar Lambs Lodge,Tundra Totes Tract,82
Alpine Acres Ranch,Ewe's Edge Estate,38
Capricorn Cottage,Jumping Jamboree Farm,57
Alpine Acres Ranch,Pasture Paradise Place,3
Lunar Lambs Lodge,Pasture Paradise Place,7
Kid Korner Homestead,Woolly Wanderer's Homestead,77
Alpine Acres Ranch,Kid Korner Homestead,25
Baa Baa Barnyard Homestead,Ram's Retreat,36
Alpine Acres Ranch,Oatmeal Oasis Ranch,42
Jumping Jamboree Farm,Velvet Valley Vista,92
Fleece Farmstead,Udder Utopia,39
Dairy Goat Domain,Tundra Totes Tract,31
Fleece Farmstead,Ivory Ibis Ranch,57
Alpine Acres Ranch,Tundra Totes Tract,29
Quirky Quadruped Quarters,Udder Utopia,27
Nanny's Nook,Quirky Quadruped Quarters,95
Capricorn Cottage,Kid Korner Homestead,70
Nanny's Nook,Shepherd's Sanctuary,41
Alpine Acres Ranch,Zenith Zephyr Farmstead,81
Dairy Goat Domain,Quirky Quadruped Quarters,81
Pasture Paradise Place,Ram's Retreat,73
Alpine Acres Ranch,Ram's Retreat,52
Nanny's Nook,Yarn Yard,89
Lunar Lambs Lodge,Xenial Xanadu Ranch,46
Fleece Farmstead,Ram's Retreat,94
Quirky Quadruped Quarters,Zenith Zephyr Farmstead,87
Lunar Lambs Lodge,Velvet Valley Vista,98
Ram's Retreat,Zenith Zephyr Farmstead,63
Pasture Paradise Place,Udder Utopia,32
Dairy Goat Domain,Udder Utopia,42
Ewe's Edge Estate,Shepherd's Sanctuary,90
Ewe's Edge Estate,Kid Korner Homestead,92
Ewe's Edge Estate,Tundra Totes Tract,40
Ewe's Edge Estate,Nanny's Nook,46
Goat Grange,Velvet Valley Vista,21
Jumping Jamboree Farm,Nanny's Nook,21
Ram's Retreat,Shepherd's Sanctuary,8
Hoof Haven Homestead,Yarn Yard,92
Goat Grange,Quirky Quadruped Quarters,28
Nanny's Nook,Udder Utopia,23
Ram's Retreat,Yarn Yard,91
Kid Korner Homestead,Xenial Xanadu Ranch,13
Alpine Acres Ranch,Fleece Farmstead,84
Pasture Paradise Place,Yarn Yard,51
Hoof Haven Homestead,Kid Korner Homestead,35
Dairy Goat Domain,Velvet Valley Vista,18
Lunar Lambs Lodge,Ram's Retreat,59
Kid Korner Homestead,Meadow Muncher's Manor,63
Ivory Ibis Ranch,Shepherd's Sanctuary,62
Goat Grange,Pasture Paradise Place,63
Goat Grange,Tundra Totes Tract,59
Jumping Jamboree Farm,Pasture Paradise Place,29
Ewe's Edge Estate,Oatmeal Oasis Ranch,55
Yarn Yard,Zenith Zephyr Farmstead,97
Fleece Farmstead,Yarn Yard,59
Hoof Haven Homestead,Oatmeal Oasis Ranch,56
Baa Baa Barnyard Homestead,Pasture Paradise Place,71
Goat Grange,Ram's Retreat,79
Baa Baa Barnyard Homestead,Shepherd's Sanctuary,5
Lunar Lambs Lodge,Oatmeal Oasis Ranch,7
Ewe's Edge Estate,Hoof Haven Homestead,25
Kid Korner Homestead,Quirky Quadruped Quarters,22
Meadow Muncher's Manor,Tundra Totes Tract,89
Fleece Farmstead,Nanny's Nook,4
Quirky Quadruped Quarters,Xenial Xanadu Ranch,7
Alpine Acres Ranch,Quirky Quadruped Quarters,43
Baa Baa Barnyard Homestead,Zenith Zephyr Farmstead,83
Alpine Acres Ranch,Meadow Muncher's Manor,79
Goat Grange,Kid Korner Homestead,57
Ewe's Edge Estate,Quirky Quadruped Quarters,100
Baa Baa Barnyard Homestead,Goat Grange,7
Velvet Valley Vista,Woolly Wanderer's Homestead,30
Dairy Goat Domain,Ivory Ibis Ranch,70
Hoof Haven Homestead,Pasture Paradise Place,30
Tundra Totes Tract,Xenial Xanadu Ranch,32
